"Ticker","Sector","Market Cap","Return on Equity","LT Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Quarter)","Performance (Half Year)","Performance (Year)"
"JNJ","Healthcare",327581.13,20.90%,0.34,69.60%,25.50%,21.20%,3.75%,13.33%,32.50%
"JNPR","Technology",8926.94,13.70%,0.46,63.20%,18.20%,12.80%,0.82%,-6.26%,-5.87%
"JPM","Financial",242761.52,9.80%,1.31,,74.60%,41.00%,4.19%,14.31%,10.84%
"JWN","Services",8850.58,41.50%,2.96,35.50%,5.60%,2.90%,31.12%,-3.55%,-22.06%
"K","Consumer Goods",28847.00,28.10%,3.15,39.70%,9.00%,4.70%,11.30%,11.43%,25.75%
"KEY","Financial",13462.26,7.60%,1.03,,80.10%,30.10%,-1.54%,11.24%,-4.17%
"KHC","Consumer Goods",109055.37,2.80%,0.52,34.30%,18.20%,6.20%,6.15%,19.62%,28.89%
"KIM","Financial",12601.45,14.50%,0.98,74.60%,26.30%,62.80%,5.91%,11.76%,37.01%
"KLAC","Technology",11035.44,154.30%,4.44,61.10%,32.20%,23.60%,-2.76%,3.52%,48.28%
"KMB","Consumer Goods",46375.20,,35.56,36.10%,16.70%,10.70%,-0.33%,-1.41%,24.58%
"KMI","Basic Materials",48240.44,0.20%,1.14,57.40%,16.30%,0.60%,18.77%,18.19%,-26.56%
"KMX","Services",11623.47,20.60%,3.54,13.40%,6.50%,4.00%,15.68%,14.10%,-0.86%
"KO","Consumer Goods",188742.18,29.50%,1.10,60.30%,20.60%,17.60%,-3.03%,0.75%,15.08%
"KORS","Consumer Goods",8386.37,42.70%,0.00,59.10%,23.60%,17.20%,-0.77%,-14.31%,9.55%
"KR","Services",31005.00,32.80%,1.52,22.40%,3.30%,1.90%,-9.44%,-11.69%,-4.82%
"KSS","Services",8068.29,10.70%,0.86,35.90%,6.40%,3.00%,17.92%,-8.18%,-10.91%
"KSU","Services",10421.69,12.70%,0.57,65.40%,35.50%,21.10%,5.25%,11.51%,6.44%
"L","Financial",13926.07,0.10%,0.60,,2.20%,0.10%,3.71%,11.68%,14.86%
"LB","Services",21508.42,,,41.90%,17.40%,9.70%,6.20%,-12.15%,-12.28%
"LEG","Consumer Goods",6922.71,35.80%,0.98,24.50%,13.70%,10.00%,3.03%,12.11%,21.60%
"LEN","Industrial Goods",9735.23,15.00%,1.10,13.70%,12.60%,8.40%,1.73%,2.01%,-9.52%
"LH","Healthcare",14073.96,12.40%,1.12,33.00%,12.90%,6.60%,5.95%,23.14%,17.18%
"LKQ","Consumer Goods",10920.96,14.00%,0.99,38.90%,9.10%,5.60%,10.12%,17.58%,17.85%
"LLL","Industrial Goods",11535.53,-2.00%,0.62,10.10%,6.00%,-0.90%,6.39%,28.28%,44.00%
"LLTC","Technology",14061.86,29.60%,0.00,75.90%,44.50%,34.70%,25.43%,36.89%,51.41%
"LLY","Healthcare",85249.70,16.60%,0.59,73.70%,14.60%,12.00%,3.34%,6.07%,-3.31%
"LM","Financial",3633.29,,0.42,80.40%,,,0.62%,6.79%,-16.11%
"LMT","Industrial Goods",73791.66,123.00%,4.77,11.10%,11.20%,7.60%,2.33%,14.28%,22.00%
"LNC","Financial",11364.41,7.10%,0.34,,11.50%,7.70%,6.36%,23.47%,-0.51%
"LNT","Utilities",8673.67,10.50%,0.95,94.20%,18.20%,12.20%,0.55%,11.62%,42.83%
"LOW","Services",67734.03,37.00%,2.11,34.70%,8.80%,4.60%,-1.48%,9.61%,13.15%
"LRCX","Technology",15165.54,16.30%,0.61,44.50%,18.30%,15.50%,14.63%,26.20%,33.60%
"LUK","Financial",6807.79,-2.80%,0.82,24.60%,-4.80%,-3.00%,7.35%,20.99%,-7.81%
"LUV","Services",22694.36,33.10%,0.32,76.00%,21.80%,12.00%,-11.44%,-10.61%,-0.61%
"LVLT","Technology",17942.73,38.10%,1.04,49.20%,13.80%,43.70%,-5.22%,-1.59%,9.86%
"LYB","Basic Materials",32626.21,61.80%,1.35,21.60%,18.70%,13.90%,-2.20%,-4.36%,-0.77%
"M","Services",11336.42,19.20%,1.62,39.10%,6.00%,3.00%,8.11%,-16.26%,-35.97%
"MA","Financial",107162.14,64.50%,0.57,,51.10%,37.40%,1.51%,11.32%,7.65%
"MAC","Financial",11702.27,19.20%,1.16,62.50%,9.70%,78.50%,7.37%,5.77%,18.25%
"MAR","Services",18095.51,-24.50%,,14.70%,9.40%,5.90%,4.58%,2.50%,1.01%
"MAS","Industrial Goods",11732.65,-327.00%,,32.90%,14.30%,6.00%,12.64%,23.20%,35.12%
"MAT","Consumer Goods",11485.80,13.80%,0.77,48.20%,9.50%,6.10%,7.94%,5.70%,53.66%
"MCD","Services",100077.12,95.10%,40.64,39.80%,30.00%,18.80%,-4.32%,0.37%,24.37%
"MCHP","Technology",13520.35,3.60%,1.32,51.00%,7.00%,3.30%,21.84%,33.14%,55.96%
"MCK","Services",41364.46,24.80%,0.64,5.90%,1.90%,1.20%,-2.09%,12.57%,-5.55%
"MCO","Services",21163.76,-160.50%,,71.10%,40.50%,25.80%,8.73%,16.72%,10.08%
"MDLZ","Consumer Goods",68365.90,26.70%,0.49,39.10%,31.90%,28.00%,-1.66%,6.79%,3.87%
"MDT","Healthcare",121566.90,,0.59,68.30%,,,5.32%,16.04%,26.72%
"MET","Financial",47317.35,5.80%,0.25,,10.70%,6.20%,-2.52%,2.83%,-8.54%
"MHK","Consumer Goods",15776.01,16.60%,0.22,31.40%,13.10%,9.70%,8.50%,18.25%,6.78%
"MJN","Consumer Goods",15720.14,-137.80%,,64.00%,20.40%,13.20%,1.73%,12.26%,11.17%
"MKC","Consumer Goods",12847.60,25.20%,0.60,40.90%,13.90%,10.00%,4.87%,10.12%,29.54%
"MLM","Industrial Goods",11642.77,9.00%,0.38,22.70%,15.90%,9.90%,-1.12%,19.91%,11.02%
"MMC","Financial",35584.30,25.30%,0.68,43.00%,19.10%,12.50%,3.54%,19.61%,31.70%
"MMM","Industrial Goods",109733.59,41.20%,0.78,49.70%,23.40%,16.30%,6.97%,14.06%,31.00%
"MNK","Healthcare",8142.18,11.60%,1.21,55.90%,19.10%,17.70%,11.38%,11.55%,-12.52%
"MNST","Consumer Goods",29377.66,15.00%,0.00,62.20%,36.50%,22.70%,-0.33%,20.20%,13.43%
"MO","Consumer Goods",130683.51,193.40%,4.09,44.50%,33.80%,22.00%,3.46%,10.12%,29.65%
"MON","Basic Materials",46962.03,20.80%,1.56,51.70%,15.60%,7.80%,-0.68%,22.85%,13.42%
"MOS","Basic Materials",10215.34,5.70%,0.38,14.20%,8.20%,7.40%,3.98%,-1.85%,-24.74%
"MPC","Basic Materials",22160.44,14.90%,0.82,11.40%,5.10%,3.00%,20.96%,16.87%,-6.79%
"MRK","Healthcare",174328.64,11.60%,0.55,63.20%,18.10%,13.00%,11.06%,21.67%,23.76%
"MRO","Basic Materials",13135.52,-11.10%,0.38,59.70%,-61.10%,-47.30%,11.34%,41.49%,-6.56%
"MS","Financial",61005.89,6.10%,2.49,86.70%,20.40%,11.90%,19.59%,23.75%,-3.47%
"MSFT","Technology",448771.20,22.30%,0.57,61.60%,23.30%,19.70%,11.32%,14.51%,36.21%
"MSI","Technology",13399.60,-165.90%,,47.20%,16.40%,9.00%,14.04%,11.08%,22.47%
"MTB","Financial",18391.87,7.70%,0.68,,84.40%,30.30%,-1.62%,8.23%,1.66%
"MU","Technology",17278.82,3.00%,0.73,22.70%,4.90%,2.90%,30.78%,44.21%,0.66%
"MUR","Basic Materials",4544.21,-43.80%,0.47,67.60%,,,-13.95%,2.51%,-2.64%
"MYL","Healthcare",22423.57,8.00%,1.24,45.30%,15.70%,8.10%,-14.08%,-13.37%,-15.71%
"NAVI","Financial",4558.88,21.60%,32.52,47.60%,31.40%,19.70%,7.82%,30.07%,25.39%
"NBL","Basic Materials",14544.26,-27.40%,0.81,88.10%,-88.90%,-90.50%,-4.45%,5.31%,14.98%
"NDAQ","Financial",11852.78,8.60%,0.65,61.00%,24.60%,13.80%,10.59%,12.55%,42.67%
"NEE","Utilities",56799.87,11.30%,1.17,,28.50%,15.50%,1.13%,8.38%,32.33%
"NEM","Basic Materials",21516.12,0.40%,0.47,44.30%,14.70%,0.50%,14.45%,52.98%,151.42%
"NFLX","Services",41749.73,6.20%,0.98,30.90%,3.30%,1.80%,-3.34%,1.98%,-3.64%
"NFX","Basic Materials",8890.20,-218.60%,2.79,78.80%,,,12.42%,50.07%,35.49%
"NI","Utilities",7763.22,6.90%,1.54,69.90%,20.00%,6.20%,-0.59%,9.37%,50.87%
"NKE","Consumer Goods",98224.96,29.60%,0.16,46.20%,13.90%,11.60%,7.15%,-1.52%,5.81%
"NLSN","Technology",18828.47,13.70%,1.62,58.90%,17.90%,9.70%,-2.44%,2.75%,18.43%
"NOC","Industrial Goods",38404.52,36.40%,1.12,23.60%,12.80%,8.70%,-0.60%,15.19%,31.72%
"NOV","Basic Materials",12477.04,-10.20%,0.20,13.50%,-18.70%,-17.10%,-3.82%,-2.57%,-14.94%
"NRG","Utilities",3773.70,-148.40%,7.09,30.90%,-29.80%,-47.90%,-32.82%,-11.80%,-34.68%
"NSC","Services",27535.21,13.10%,0.78,41.40%,29.30%,15.80%,13.84%,19.70%,25.70%
"NTAP","Technology",9719.30,11.00%,0.53,60.90%,8.50%,5.90%,40.59%,31.75%,14.97%
"NTRS","Financial",15954.18,11.10%,0.37,96.60%,29.20%,18.80%,-3.11%,8.33%,3.90%
"NUE","Basic Materials",15694.99,6.20%,0.57,11.20%,6.60%,3.00%,-1.96%,11.32%,18.44%
"NVDA","Technology",33785.58,20.50%,0.02,57.00%,19.50%,16.60%,35.48%,94.21%,184.13%
"NWL","Consumer Goods",25662.71,7.70%,1.06,33.80%,4.00%,3.90%,11.86%,36.33%,29.83%
"NWSA","Services",8172.74,1.50%,0.03,,1.80%,2.10%,14.64%,23.25%,6.43%
"O","Financial",16998.25,4.40%,0.77,94.70%,26.30%,25.40%,6.86%,16.92%,56.32%
"OI","Consumer Goods",2924.73,49.50%,15.95,18.80%,5.30%,3.00%,-9.93%,20.00%,-11.86%
"OKE","Utilities",10186.48,86.90%,35.05,30.00%,12.60%,3.60%,8.46%,80.03%,45.93%
"OMC","Services",20401.38,46.70%,2.20,25.20%,12.80%,7.30%,5.85%,11.16%,33.25%
"ORCL","Technology",169691.78,19.10%,0.83,79.80%,34.00%,24.00%,4.97%,8.33%,13.53%
"ORLY","Services",26782.93,52.60%,1.12,52.30%,19.50%,12.00%,9.20%,7.85%,18.76%
"OXY","Basic Materials",59186.64,-31.00%,0.36,50.50%,,-73.50%,3.80%,12.46%,14.10%
"PAYX","Services",21989.14,40.70%,0.00,71.00%,38.80%,25.60%,12.15%,18.06%,41.29%
"PBCT","Financial",5035.52,5.70%,0.22,,83.30%,24.50%,3.93%,6.78%,12.19%
"PBI","Consumer Goods",3513.29,220.50%,33.51,56.40%,15.80%,8.20%,0.07%,-3.82%,-0.68%
"PCAR","Consumer Goods",20873.89,9.70%,1.26,19.90%,7.30%,3.70%,6.63%,11.29%,6.92%
"PCG","Utilities",31153.18,4.50%,0.99,67.40%,7.40%,4.50%,2.51%,12.15%,33.38%
"PCLN","Services",70118.05,29.80%,0.78,94.60%,34.30%,27.10%,5.47%,10.18%,14.71%
"PDCO","Services",4565.68,14.10%,0.72,24.20%,6.30%,3.50%,-4.21%,6.01%,6.69%
"PEG","Utilities",21547.16,10.70%,0.77,,26.00%,14.80%,-4.25%,-1.89%,13.48%
"PEP","Consumer Goods",155656.41,42.00%,2.49,55.40%,13.30%,8.30%,5.78%,10.27%,20.48%
"PFE","Healthcare",210984.36,10.90%,0.49,77.80%,17.60%,13.40%,0.37%,18.74%,12.94%
"PFG","Financial",14057.73,12.60%,0.31,,12.50%,10.20%,13.81%,26.30%,4.19%
"PG","Consumer Goods",235733.90,17.40%,0.34,50.70%,20.60%,15.70%,7.40%,7.85%,30.43%
"PGR","Financial",18923.84,14.00%,0.34,,8.00%,4.80%,-0.92%,-2.58%,12.03%
"PH","Industrial Goods",16451.53,16.80%,0.58,23.00%,9.80%,7.10%,6.78%,15.21%,20.04%
"PHM","Industrial Goods",7250.37,11.30%,0.54,23.20%,12.70%,7.80%,12.20%,17.61%,2.52%
"PKI","Healthcare",5826.61,11.30%,0.51,46.10%,13.20%,10.30%,-2.03%,9.69%,12.12%
"PLD","Financial",28330.97,6.10%,0.76,72.10%,16.90%,36.40%,12.67%,32.18%,48.41%
"PM","Consumer Goods",157845.26,-49.80%,,64.60%,38.70%,24.90%,2.47%,10.63%,33.99%
"PNC","Financial",44998.38,8.30%,0.77,,82.50%,39.30%,1.36%,5.47%,3.61%
"PNR","Industrial Goods",11581.22,-2.10%,1.09,33.90%,2.70%,-1.30%,6.01%,24.81%,20.99%
"PNW","Utilities",8471.76,9.20%,0.85,,23.70%,12.00%,1.89%,11.81%,35.36%
"PPG","Basic Materials",28601.09,28.40%,0.83,44.80%,14.30%,9.60%,-0.62%,4.33%,15.60%
"PPL","Utilities",23720.39,17.50%,1.84,90.10%,38.20%,23.50%,-9.81%,-0.86%,21.03%
"PRGO","Healthcare",13074.35,-1.30%,0.57,39.00%,0.50%,-2.40%,-8.43%,-29.48%,-48.74%
"PRU","Financial",35063.04,9.60%,0.34,,10.50%,8.00%,3.82%,12.23%,4.39%
"PSA","Financial",39207.45,21.60%,0.18,73.80%,53.30%,44.40%,-11.23%,-8.20%,14.14%
"PSX","Basic Materials",41662.84,13.50%,0.32,29.20%,5.30%,3.50%,-1.55%,-8.30%,3.55%
"PVH","Consumer Goods",8746.68,14.50%,0.70,51.90%,10.70%,8.30%,12.20%,26.00%,-7.68%
"PWR","Industrial Goods",3888.42,7.90%,0.13,11.70%,2.10%,3.40%,9.36%,18.86%,9.55%
"PX","Basic Materials",35250.27,33.80%,1.79,44.90%,22.60%,15.10%,10.56%,14.45%,22.32%
"PXD","Basic Materials",30567.51,-5.50%,0.26,36.50%,-61.00%,-15.50%,14.18%,40.66%,54.32%
"PYPL","Financial",44450.64,10.00%,0.00,48.30%,15.20%,13.50%,-2.70%,-4.90%,4.98%
"QCOM","Technology",93532.47,17.00%,0.33,60.40%,24.80%,22.60%,16.39%,21.02%,18.36%
"QRVO","Technology",7386.05,-0.70%,0.20,39.70%,0.70%,-1.40%,5.09%,17.41%,1.82%
"R","Services",3526.62,14.70%,2.24,55.60%,7.70%,4.40%,-3.49%,7.32%,-15.86%
"RAI","Consumer Goods",71010.10,26.70%,0.62,57.90%,76.70%,43.00%,0.12%,-0.41%,24.12%
"RCL","Services",15652.14,9.50%,1.12,39.50%,11.30%,9.10%,-8.11%,-4.45%,-20.19%
"REGN","Healthcare",41421.25,20.10%,0.09,91.40%,26.70%,16.00%,-3.78%,-4.81%,-23.57%
"RF","Financial",12561.45,6.30%,0.25,,81.80%,27.40%,0.46%,20.18%,8.15%
"RHI","Services",4973.82,35.40%,0.00,41.40%,11.10%,6.90%,-5.30%,-6.74%,-23.88%
"RHT","Technology",13361.14,15.70%,0.54,84.90%,13.70%,9.90%,-5.61%,10.19%,5.84%
"RIG","Basic Materials",3489.53,8.70%,0.48,50.60%,30.70%,21.90%,-13.79%,-24.23%,-28.03%
"RL","Consumer Goods",8516.48,8.30%,0.24,56.10%,6.20%,4.20%,7.78%,5.74%,-5.09%
"ROK","Industrial Goods",15196.98,33.70%,0.72,41.80%,16.60%,12.50%,-0.94%,8.92%,11.38%
"ROP","Industrial Goods",18313.36,12.70%,0.56,61.20%,28.00%,18.50%,5.01%,5.39%,15.51%
"ROST","Services",24921.37,42.00%,0.15,28.30%,13.70%,8.60%,20.11%,9.81%,30.60%
"RRC","Basic Materials",6763.59,-34.20%,1.04,73.80%,,-87.70%,-10.10%,20.05%,5.88%
"RSG","Industrial Goods",17565.95,9.30%,0.98,39.20%,16.50%,7.80%,4.81%,10.23%,28.68%
"RTN","Industrial Goods",41301.92,21.20%,0.52,24.70%,13.00%,9.00%,5.31%,15.70%,37.18%
"SBUX","Services",82584.04,47.20%,0.56,31.20%,18.80%,13.00%,1.41%,-2.46%,4.12%
"SCG","Utilities",10005.92,9.60%,1.16,72.60%,25.80%,12.90%,1.76%,10.70%,43.46%
"SCHW","Financial",40986.84,12.60%,0.22,97.90%,37.10%,21.90%,5.18%,14.14%,6.06%
"SE","Basic Materials",24966.28,4.10%,1.79,87.20%,27.20%,5.90%,11.32%,20.25%,34.79%
"SEE","Consumer Goods",9506.16,66.00%,7.26,37.00%,10.30%,5.10%,6.48%,6.29%,-3.68%
"SHW","Basic Materials",26308.59,108.80%,1.53,50.20%,14.80%,9.60%,-2.12%,4.27%,13.24%
"SIG","Services",6322.20,17.40%,0.46,37.30%,11.60%,7.90%,-4.80%,-26.51%,-39.70%
"SJM","Consumer Goods",16375.15,10.00%,0.71,38.70%,15.30%,9.40%,7.76%,12.69%,23.62%
"SLB","Basic Materials",109808.98,-4.50%,0.43,17.00%,-4.90%,-5.60%,-0.05%,4.47%,5.78%
"SLG","Financial",11692.65,6.00%,1.13,69.60%,18.20%,21.80%,17.12%,26.32%,16.28%
"SNA","Industrial Goods",8898.07,20.90%,0.28,53.00%,22.30%,14.20%,-2.96%,0.65%,-0.84%
"SNI","Services",8204.71,45.40%,1.53,65.30%,36.20%,22.90%,-2.65%,-0.89%,19.68%
"SO","Utilities",50090.08,11.10%,1.61,71.10%,25.00%,13.40%,4.44%,9.18%,27.26%
"SPG","Financial",67880.31,38.70%,5.01,81.90%,49.40%,32.70%,9.91%,10.24%,25.86%
"SPGI","Services",33176.24,324.40%,9.23,67.60%,36.20%,21.30%,14.10%,34.08%,35.66%
"SPLS","Services",5535.07,-8.50%,0.22,26.00%,-1.40%,-2.10%,-3.26%,-8.67%,-34.90%
"SRCL","Industrial Goods",7259.62,8.10%,1.07,42.40%,14.60%,6.70%,-15.31%,-26.64%,-40.78%
"SRE","Utilities",26085.01,8.10%,1.12,96.70%,12.00%,9.60%,-3.69%,8.61%,14.99%
"STI","Financial",21708.43,8.30%,0.53,,84.90%,34.20%,0.61%,21.06%,14.53%
"STJ","Healthcare",22264.24,16.10%,1.27,67.10%,16.10%,11.40%,1.05%,42.90%,13.89%
"STT","Financial",27347.93,10.60%,0.63,,82.20%,80.40%,13.67%,22.25%,1.12%
"STX","Technology",10066.10,14.10%,2.59,23.40%,4.00%,2.20%,41.98%,-1.29%,-26.68%
"STZ","Consumer Goods",33084.37,17.50%,0.98,46.40%,27.80%,16.70%,7.94%,21.00%,30.68%
"SWK","Industrial Goods",18587.59,16.70%,0.66,36.80%,12.40%,8.50%,9.37%,26.09%,27.25%
"SWKS","Technology",14079.30,28.50%,0.00,50.30%,33.70%,29.30%,13.35%,3.18%,-11.14%
"SWN","Basic Materials",6804.81,-269.10%,10.06,68.30%,,,-8.95%,62.17%,-9.60%
"SYF","Financial",23185.20,17.00%,1.41,,66.60%,15.70%,-9.99%,-2.07%,-13.23%
"SYK","Healthcare",43130.36,18.40%,0.74,66.70%,19.50%,15.30%,2.16%,13.19%,21.32%
"SYMC","Technology",14866.40,,0.69,82.90%,,,41.79%,43.16%,54.64%
"SYY","Services",29935.58,22.80%,2.11,17.90%,3.70%,1.90%,9.83%,19.62%,37.24%
"T","Technology",251985.83,11.60%,0.95,54.20%,16.70%,8.80%,5.26%,9.94%,30.51%
"TAP","Consumer Goods",22003.94,4.50%,0.27,39.90%,16.90%,10.90%,1.62%,17.60%,58.34%
"TDC","Technology",4103.69,5.40%,0.64,50.70%,3.30%,1.90%,10.82%,15.54%,11.56%
"TDG","Industrial Goods",15309.03,-56.50%,,54.40%,39.70%,17.20%,8.69%,29.80%,25.66%
"TEL","Technology",22719.48,30.90%,0.45,32.80%,15.10%,22.00%,4.43%,5.02%,7.61%
"TGNA","Services",4473.26,19.30%,1.98,70.80%,32.20%,13.60%,-9.54%,-16.22%,-10.26%
"TGT","Services",41225.58,26.10%,1.04,29.70%,7.80%,4.60%,3.73%,-11.01%,-5.63%
"TIF","Services",8788.73,15.40%,0.27,61.70%,18.30%,11.30%,12.04%,0.41%,-11.86%
"TJX","Services",51041.20,52.70%,0.36,28.90%,11.70%,7.20%,2.54%,3.74%,10.10%
"TMK","Financial",7741.92,12.30%,0.23,,23.80%,14.80%,7.15%,21.82%,13.93%
"TMO","Healthcare",59549.80,,0.55,45.60%,,,-1.21%,7.03%,23.69%
"TRIP","Technology",8931.53,9.70%,0.06,95.60%,11.80%,9.40%,-14.36%,-6.56%,-11.90%
"TROW","Financial",17088.22,22.10%,0.00,,38.80%,25.40%,-8.67%,-3.10%,1.41%
"TRV","Financial",34117.77,13.00%,0.26,,17.40%,11.60%,4.56%,8.87%,22.38%
"TSCO","Services",11360.95,30.30%,0.14,34.40%,10.40%,6.60%,-10.50%,-0.34%,2.33%
"TSN","Consumer Goods",27735.49,16.80%,0.62,12.00%,7.30%,4.30%,25.81%,16.86%,80.78%
"TSO","Basic Materials",8908.73,24.40%,0.81,25.20%,9.30%,5.10%,-6.28%,-11.73%,-17.73%
"TSS","Financial",9165.99,18.90%,1.81,31.70%,17.10%,10.90%,-4.75%,13.91%,12.39%
"TWX","Services",61606.78,17.00%,1.02,43.60%,25.30%,14.50%,3.84%,14.08%,13.50%
"TXN","Technology",69923.88,30.60%,0.30,59.60%,34.00%,23.60%,14.30%,27.05%,50.65%
"TXT","Industrial Goods",11097.79,14.70%,0.70,17.80%,8.60%,5.30%,2.49%,25.05%,6.20%
"TYC","Services",19421.34,12.70%,0.50,37.00%,8.20%,5.50%,1.50%,21.71%,23.77%
"UA","Consumer Goods",16422.70,13.80%,0.47,47.60%,9.10%,5.20%,4.75%,-7.31%,-19.36%
"UAL","Services",16910.79,78.90%,1.29,34.10%,12.70%,17.70%,14.73%,-11.32%,-10.76%
"UDR","Financial",9638.03,7.10%,1.19,67.40%,16.60%,21.90%,9.30%,2.72%,17.65%
"UHS","Healthcare",11575.13,16.50%,0.81,,13.70%,7.40%,-11.80%,5.68%,-10.43%
"ULTA","Services",15312.56,26.10%,0.00,35.90%,13.20%,8.30%,4.11%,49.70%,55.07%
"UNH","Healthcare",129278.14,17.80%,0.74,,6.60%,3.50%,-0.66%,13.17%,21.93%
"UNM","Financial",8390.75,9.90%,0.33,,13.00%,8.00%,-1.90%,13.90%,10.23%
"UNP","Services",79368.24,21.30%,0.72,80.90%,36.70%,21.50%,10.34%,18.45%,14.09%
"UPS","Services",96147.69,210.40%,4.40,82.10%,13.30%,8.40%,7.04%,9.79%,16.66%
"URBN","Services",4191.21,18.80%,0.06,35.10%,10.10%,6.40%,26.40%,28.20%,15.59%
"URI","Services",7220.27,40.80%,4.84,41.80%,24.90%,10.50%,11.25%,36.94%,20.83%
"USB","Financial",75358.60,13.60%,0.88,,78.60%,43.90%,3.67%,9.72%,9.26%
"UTX","Industrial Goods",89316.49,25.00%,0.69,27.70%,12.40%,12.80%,6.14%,11.74%,19.47%
"V","Financial",191934.12,18.30%,0.48,,52.40%,38.60%,1.99%,14.38%,17.33%
"VAR","Healthcare",9153.17,22.80%,0.18,41.40%,16.30%,12.30%,14.60%,20.97%,19.39%
"VFC","Consumer Goods",25531.36,21.40%,0.30,48.10%,12.90%,8.90%,-3.03%,-8.33%,-14.79%
"VIAB","Services",16005.09,54.40%,2.69,48.20%,24.80%,15.80%,-11.33%,1.57%,-3.95%
"VLO","Basic Materials",25605.61,14.40%,0.32,15.50%,6.30%,3.90%,0.95%,-11.39%,-4.05%
"VMC","Industrial Goods",15273.81,8.00%,0.44,27.80%,18.40%,9.90%,-1.47%,11.50%,18.26%
"VNO","Financial",19439.84,10.00%,2.08,59.60%,23.30%,21.30%,9.01%,14.37%,21.98%
"VRSK","Services",14075.06,44.20%,1.57,63.10%,37.50%,28.50%,4.93%,10.11%,13.57%
"VRSN","Technology",8539.45,-38.20%,,82.30%,59.30%,37.50%,-6.84%,-10.19%,15.81%
"VRTX","Healthcare",23476.95,-28.90%,0.59,88.00%,-8.70%,-17.70%,-1.02%,4.57%,-24.83%
"VTR","Financial",25413.08,4.50%,1.10,57.60%,24.10%,13.00%,9.94%,29.69%,41.83%
"VZ","Technology",215697.52,85.60%,4.83,59.40%,22.90%,11.10%,5.33%,3.39%,21.07%
"WAT","Healthcare",12577.98,23.70%,0.76,58.70%,27.70%,23.30%,12.55%,22.01%,27.33%
"WBA","Services",88252.48,10.40%,0.43,25.80%,4.90%,2.70%,5.00%,4.83%,-5.13%
"WDC","Technology",13167.10,2.40%,1.23,26.40%,3.60%,1.90%,-1.07%,-4.12%,-40.39%
"WEC","Utilities",19112.74,10.20%,1.01,64.30%,22.40%,12.10%,-0.11%,8.16%,33.28%
"WFC","Financial",256131.79,12.10%,1.38,,83.50%,40.80%,0.92%,2.55%,-0.63%
"WFM","Services",9742.79,14.10%,0.33,34.50%,5.00%,3.00%,-11.45%,-7.61%,-3.24%
"WHR","Consumer Goods",13401.89,18.40%,0.76,18.00%,6.60%,4.30%,2.35%,13.10%,10.15%
"WLTW","Financial",17235.92,6.00%,0.30,,8.20%,6.70%,-0.48%,9.09%,
"WM","Industrial Goods",28571.40,21.90%,1.71,45.50%,16.80%,8.70%,4.08%,13.76%,31.73%
"WMB","Basic Materials",21318.43,-20.40%,5.05,78.60%,-29.00%,-17.00%,25.15%,59.19%,-33.46%
"WMT","Services",225312.60,18.90%,0.56,25.50%,4.90%,3.00%,2.74%,9.11%,15.16%
"WRK","Consumer Goods",12200.13,-7.00%,0.56,19.40%,1.20%,-5.30%,21.69%,36.41%,-14.17%
"WU","Financial",10595.38,63.00%,2.46,40.80%,20.30%,15.30%,11.19%,12.59%,21.04%
"WY","Industrial Goods",23862.02,6.30%,0.99,21.70%,13.40%,7.00%,3.31%,16.43%,19.23%
"WYN","Services",7772.76,65.10%,6.63,50.70%,17.60%,10.40%,4.82%,-5.27%,-6.01%
"WYNN","Services",9483.73,-297.30%,,38.50%,15.10%,8.20%,-5.92%,11.14%,28.12%
"XEC","Basic Materials",12787.72,-66.10%,0.64,58.70%,,,14.87%,41.51%,25.29%
"XEL","Utilities",21227.47,10.10%,1.22,93.10%,19.90%,9.90%,-0.01%,5.84%,29.78%
"XL","Financial",10145.92,10.00%,0.23,,10.60%,11.50%,4.24%,-0.02%,-4.15%
"XLNX","Technology",13772.99,21.70%,0.38,69.60%,30.30%,25.30%,16.94%,17.22%,35.84%
"XOM","Basic Materials",365240.75,6.20%,0.17,28.40%,2.70%,4.60%,-1.31%,5.26%,22.64%
"XRAY","Healthcare",14364.99,7.00%,0.14,54.30%,12.40%,12.00%,-1.55%,1.40%,20.03%
"XRX","Technology",10001.26,4.40%,0.58,29.60%,2.70%,2.30%,-3.14%,-3.55%,1.67%
"XYL","Industrial Goods",9119.77,16.00%,0.53,39.20%,12.20%,9.20%,11.79%,32.97%,59.74%
"YHOO","Technology",40860.21,-17.20%,0.04,51.80%,,,16.75%,27.44%,33.01%
"YUM","Services",37416.60,227.90%,,54.60%,16.10%,11.00%,10.29%,18.21%,16.55%
"ZBH","Healthcare",25671.66,2.30%,1.10,67.20%,10.30%,3.00%,6.68%,29.08%,27.87%
"ZION","Financial",6270.19,5.10%,0.10,,88.50%,18.10%,6.61%,27.36%,9.68%
"ZTS","Healthcare",25440.34,53.00%,3.29,64.90%,20.70%,13.20%,6.11%,24.94%,16.07%
